frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
1000,41.64166666666667,730.5,577.5,721.8155670166016,608.7782120704651,745.3932189941406,611.2163829803467,0.9983533620834351,698.2379150390625,606.3400411605835,0.9982902407646179,729.8677825927734,503.2522130012512,195,285,True
1010,42.06,729.5,578.0,722.2801208496094,610.3388929367065,746.0713195800781,612.5217390060425,0.9981989860534668,698.4889221191406,608.1560468673706,0.9981743097305298,729.3628692626953,504.6768522262573,197,284,True
1020,42.47666666666667,728.5,578.0,722.215461730957,611.2581396102905,746.3722229003906,613.5779285430908,0.9978457689285278,698.0587005615234,608.9383506774902,0.9979795813560486,728.9036178588867,505.28483390808105,197,284,True
1030,42.89333333333334,727.0,578.0,721.9922637939453,615.8628487586975,746.5004730224609,618.334150314331,0.9974537491798401,697.4840545654297,613.391547203064,0.9977678060531616,727.5027465820312,507.4741816520691,200,284,True
1040,43.31,725.0,580.0,721.5504455566406,620.4795956611633,746.6069030761719,622.245626449585,0.9972243309020996,696.4939880371094,618.7135648727417,0.9976274371147156,725.303955078125,510.5533790588379,206,280,True
1050,43.72666666666667,727.0,581.0,721.2983322143555,621.7420148849487,746.7704010009766,623.168478012085,0.9971365332603455,695.8262634277344,620.3155517578125,0.9975427985191345,725.5081176757812,511.45657539367676,204,278,True
1060,44.14333333333334,727.5,580.5,721.8404388427734,620.971941947937,747.5103759765625,622.6774835586548,0.9972637295722961,696.1705017089844,619.2664003372192,0.9977084994316101,726.06689453125,514.8622298240662,207,279,True
1070,44.56,728.0,580.5,721.9743347167969,622.4454617500305,747.6056671142578,623.9710807800293,0.9970006346702576,696.3430023193359,620.9198427200317,0.9977454543113708,726.2953186035156,513.8809061050415,206,279,True
1080,44.97666666666667,729.5,577.5,722.8232574462891,618.7744188308716,749.1864776611328,617.1117067337036,0.9971581101417542,696.4600372314453,620.4371309280396,0.9978184700012207,726.1261749267578,509.8402976989746,203,285,True
1090,45.39333333333334,736.0,576.0,724.3416595458984,599.9716186523438,749.9607849121094,599.7066164016724,0.9972839951515198,698.7225341796875,600.2366209030151,0.9977772235870361,725.0899505615234,496.866774559021,188,288,True
1100,45.81,736.0,572.5,726.4165878295898,589.8692393302917,750.2693939208984,590.7049512863159,0.99750155210495,702.5637817382812,589.0335273742676,0.9979375600814819,726.8096542358398,491.644492149353,194,295,True
1110,46.22833333333334,735.0,568.5,727.1734237670898,585.6327223777771,750.2588653564453,586.8403816223145,0.9977139830589294,704.0879821777344,584.4250631332397,0.9981111288070679,730.0044250488281,487.6577854156494,194,303,True
1120,46.645,732.5,567.0,727.3101806640625,578.9803504943848,750.2458190917969,580.0431060791016,0.9979251027107239,704.3745422363281,577.917594909668,0.9982838034629822,731.3442611694336,485.06962537765503,183,306,True
1130,47.06166666666667,729.5,564.5,726.0294342041016,572.6910424232483,747.9495239257812,574.5668935775757,0.9981169104576111,704.1093444824219,570.8151912689209,0.9984387159347534,732.3821640014648,482.58459091186523,175,311,True
