# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,deepsort

# Video,/Users/takahashiryoutarou/Desktop/国宝さん一覧/box/data/raw/WIN_20250319_10_03_53_Pro.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,1920x1080,FPS,28.09
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

236,28.059,68.3,44.4,0.0,115.0,1,1,8.4,yolov8n,deepsort,
237,28.202,92.4,47.5,0.0,142.1,1,1,8.4,yolov8n,deepsort,
238,28.324,68.6,44.8,0.0,119.7,1,1,8.4,yolov8n,deepsort,
239,28.434,54.9,41.3,0.0,108.2,1,1,8.4,yolov8n,deepsort,
240,28.550,73.9,38.9,0.0,114.9,1,1,8.4,yolov8n,deepsort,
241,28.673,73.5,44.9,0.0,120.5,1,1,8.4,yolov8n,deepsort,
242,28.800,75.5,47.6,0.0,126.5,1,1,8.4,yolov8n,deepsort,
243,28.908,63.8,39.5,0.0,107.0,1,1,8.4,yolov8n,deepsort,
244,29.022,72.9,35.1,0.0,111.1,1,1,8.4,yolov8n,deepsort,
245,29.139,75.1,39.0,0.0,116.1,1,1,8.4,yolov8n,deepsort,
246,29.270,88.8,38.3,0.0,129.7,1,1,8.4,yolov8n,deepsort,
247,29.386,71.6,41.1,0.0,115.4,1,1,8.4,yolov8n,deepsort,
248,29.493,65.5,29.3,0.0,105.5,1,1,8.4,yolov8n,deepsort,
249,29.613,74.2,42.3,0.0,119.0,1,1,8.4,yolov8n,deepsort,
250,29.768,106.7,45.0,0.0,153.8,1,1,8.4,yolov8n,deepsort,
251,29.879,57.4,49.7,0.0,109.8,1,1,8.4,yolov8n,deepsort,
252,30.062,117.6,61.4,0.0,182.0,1,1,8.4,yolov8n,deepsort,
253,30.211,102.1,43.6,0.0,147.7,1,1,8.4,yolov8n,deepsort,
254,30.350,81.8,54.4,0.0,138.3,1,1,8.4,yolov8n,deepsort,
255,30.450,52.4,44.3,0.0,98.8,1,1,8.4,yolov8n,deepsort,
256,30.542,48.7,33.5,0.0,91.3,1,1,8.4,yolov8n,deepsort,
257,30.669,64.9,56.9,0.0,126.4,1,1,8.4,yolov8n,deepsort,
258,30.808,80.2,51.9,0.0,137.2,1,1,8.4,yolov8n,deepsort,
259,30.938,84.1,43.6,0.0,130.0,1,1,8.4,yolov8n,deepsort,
260,31.046,60.1,43.3,0.0,106.3,1,1,8.4,yolov8n,deepsort,
261,31.174,58.5,63.3,0.0,124.5,1,1,8.4,yolov8n,deepsort,
262,31.286,65.9,42.4,0.0,110.5,1,1,8.4,yolov8n,deepsort,
263,31.413,77.3,46.8,0.0,126.2,1,1,8.4,yolov8n,deepsort,
264,31.532,72.1,43.9,0.0,118.1,1,1,8.4,yolov8n,deepsort,
265,31.674,75.6,48.9,0.0,137.6,1,1,8.4,yolov8n,deepsort,
266,31.794,67.7,48.2,0.0,118.7,1,1,8.4,yolov8n,deepsort,
267,31.916,70.8,47.0,0.0,120.8,1,1,8.4,yolov8n,deepsort,
268,32.022,66.4,36.9,0.0,105.4,1,1,8.4,yolov8n,deepsort,
269,32.153,71.3,48.2,0.0,124.6,1,1,8.4,yolov8n,deepsort,
270,32.277,59.1,49.6,0.0,116.7,1,1,8.4,yolov8n,deepsort,
271,32.400,63.7,44.5,0.0,120.1,1,1,8.4,yolov8n,deepsort,
272,32.531,84.6,43.3,0.0,130.0,1,1,8.4,yolov8n,deepsort,
273,32.644,67.5,34.5,0.0,111.8,1,1,8.4,yolov8n,deepsort,
274,32.772,78.7,46.3,0.0,127.1,1,1,8.4,yolov8n,deepsort,
275,32.905,89.0,40.6,0.0,132.2,1,1,8.4,yolov8n,deepsort,
276,33.031,72.4,49.7,0.0,124.9,1,1,8.4,yolov8n,deepsort,
277,33.159,82.3,37.0,0.0,125.5,1,1,8.4,yolov8n,deepsort,
278,33.285,73.1,49.1,0.0,124.4,1,1,8.4,yolov8n,deepsort,
279,33.392,59.1,45.1,0.0,106.2,1,1,8.4,yolov8n,deepsort,
280,33.534,94.7,44.7,0.0,141.5,1,1,8.3,yolov8n,deepsort,
