# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Memory_MB,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

142,7.656,51.6,0.9,0.0,53.4,11,9,18.5,726.5,yolov8n,bytetrack,
143,7.709,51.0,0.8,0.0,52.6,10,9,18.5,726.5,yolov8n,bytetrack,1 notifications
144,7.762,51.0,0.9,0.0,52.8,12,9,18.6,726.5,yolov8n,bytetrack,
145,7.814,49.3,1.0,0.0,51.4,14,10,18.6,726.8,yolov8n,bytetrack,
146,7.867,51.1,1.0,0.0,53.2,13,10,18.6,728.3,yolov8n,bytetrack,
147,7.921,51.3,1.0,0.0,53.4,11,11,18.6,728.3,yolov8n,bytetrack,
148,7.973,49.8,1.0,0.0,51.7,12,11,18.6,728.3,yolov8n,bytetrack,
149,8.028,52.7,1.0,0.0,54.7,12,11,18.6,728.3,yolov8n,bytetrack,
150,8.122,92.1,1.2,0.0,94.3,12,11,18.5,740.6,yolov8n,bytetrack,
151,8.185,60.6,1.0,0.0,62.6,14,11,18.4,740.6,yolov8n,bytetrack,
152,8.239,51.6,1.1,0.0,53.7,15,12,18.4,740.6,yolov8n,bytetrack,
153,8.293,50.9,1.1,0.0,53.3,15,14,18.4,741.1,yolov8n,bytetrack,
154,8.347,51.1,1.1,0.0,53.5,14,14,18.5,742.2,yolov8n,bytetrack,
155,8.401,51.5,1.0,0.0,53.6,13,13,18.5,742.2,yolov8n,bytetrack,
156,8.453,49.7,1.0,0.0,51.9,13,12,18.5,742.2,yolov8n,bytetrack,
157,8.507,51.4,1.0,0.0,53.4,14,11,18.5,742.2,yolov8n,bytetrack,
158,8.560,51.2,1.0,0.0,53.1,12,11,18.5,742.2,yolov8n,bytetrack,1 notifications
159,8.613,50.4,0.9,0.0,52.4,12,10,18.5,742.2,yolov8n,bytetrack,
160,8.664,49.3,0.9,0.0,51.2,13,11,18.5,742.2,yolov8n,bytetrack,
161,8.717,50.3,1.0,0.0,52.3,11,11,18.5,742.6,yolov8n,bytetrack,
162,8.769,49.9,1.0,0.0,52.0,12,11,18.5,742.6,yolov8n,bytetrack,
163,8.823,51.0,0.9,0.0,53.1,12,11,18.5,742.6,yolov8n,bytetrack,
164,8.875,50.1,0.9,0.0,51.9,10,10,18.5,742.7,yolov8n,bytetrack,
165,8.928,51.6,0.9,0.0,53.5,10,10,18.5,742.7,yolov8n,bytetrack,
166,8.981,50.3,0.9,0.0,52.2,11,10,18.5,742.7,yolov8n,bytetrack,
167,9.033,49.6,0.9,0.0,51.5,12,10,18.5,742.7,yolov8n,bytetrack,
168,9.085,49.7,0.9,0.0,51.6,11,10,18.5,742.7,yolov8n,bytetrack,
169,9.139,51.7,1.0,0.0,53.7,12,10,18.5,742.7,yolov8n,bytetrack,
170,9.191,50.8,0.9,0.0,52.5,10,9,18.5,742.7,yolov8n,bytetrack,
171,9.243,49.9,0.8,0.0,51.5,10,9,18.5,742.7,yolov8n,bytetrack,
172,9.295,49.6,0.9,0.0,51.4,10,9,18.5,742.7,yolov8n,bytetrack,
173,9.349,51.5,0.9,0.0,53.5,11,9,18.5,742.7,yolov8n,bytetrack,1 notifications
174,9.401,50.0,0.9,0.0,51.9,10,9,18.5,742.7,yolov8n,bytetrack,
175,9.452,49.0,0.9,0.0,50.8,11,9,18.5,742.7,yolov8n,bytetrack,
176,9.505,51.2,0.9,0.0,53.1,12,10,18.5,742.7,yolov8n,bytetrack,
177,9.559,51.3,0.9,0.0,53.1,11,9,18.5,742.7,yolov8n,bytetrack,
178,9.613,51.6,0.9,0.0,53.5,11,11,18.5,742.7,yolov8n,bytetrack,1 notifications
179,9.666,51.3,1.0,0.0,53.3,13,11,18.5,742.7,yolov8n,bytetrack,
180,9.719,50.1,1.0,0.0,52.2,12,12,18.5,742.7,yolov8n,bytetrack,
181,9.774,52.4,1.0,0.0,54.7,13,12,18.5,742.7,yolov8n,bytetrack,
182,9.826,50.2,1.0,0.0,52.2,13,12,18.5,742.7,yolov8n,bytetrack,
183,9.879,50.9,1.0,0.0,52.8,14,12,18.5,742.7,yolov8n,bytetrack,
184,9.934,52.1,1.0,0.0,54.2,14,12,18.5,742.7,yolov8n,bytetrack,
185,9.988,51.8,1.2,0.0,54.1,16,12,18.5,742.7,yolov8n,bytetrack,
186,10.041,50.6,1.0,0.0,52.6,13,11,18.5,742.7,yolov8n,bytetrack,
187,10.093,50.1,1.0,0.0,52.1,14,12,18.5,742.7,yolov8n,bytetrack,
188,10.147,51.2,1.1,0.0,53.4,15,11,18.5,742.7,yolov8n,bytetrack,
189,10.201,51.2,0.9,0.0,53.3,14,11,18.5,742.7,yolov8n,bytetrack,
190,10.253,49.6,1.0,0.0,51.6,14,12,18.5,742.7,yolov8n,bytetrack,
191,10.306,51.0,1.0,0.0,52.9,13,11,18.5,742.7,yolov8n,bytetrack,
192,10.358,50.2,1.0,0.0,52.3,14,11,18.5,742.7,yolov8n,bytetrack,
193,10.411,50.4,0.9,0.0,52.3,11,10,18.5,742.7,yolov8n,bytetrack,
194,10.463,50.2,1.0,0.0,52.2,13,10,18.5,742.7,yolov8n,bytetrack,
195,10.518,51.6,1.0,0.0,54.1,13,11,18.5,742.7,yolov8n,bytetrack,
196,10.572,52.3,1.1,0.0,54.4,13,10,18.5,742.7,yolov8n,bytetrack,
197,10.625,50.3,0.9,0.0,52.2,12,10,18.5,742.7,yolov8n,bytetrack,
198,10.679,52.0,0.9,0.0,54.0,14,10,18.5,742.7,yolov8n,bytetrack,
199,10.733,51.5,1.1,0.0,53.6,14,11,18.5,742.7,yolov8n,bytetrack,
200,10.785,49.5,0.9,0.0,51.3,11,11,18.5,742.7,yolov8n,bytetrack,
201,10.839,51.5,1.0,0.0,53.4,12,11,18.5,742.7,yolov8n,bytetrack,
202,10.891,49.6,0.9,0.0,51.8,13,11,18.5,742.7,yolov8n,bytetrack,
203,10.943,50.0,1.1,0.0,52.2,16,11,18.6,742.7,yolov8n,bytetrack,
204,10.997,51.2,1.1,0.0,53.3,16,12,18.6,742.7,yolov8n,bytetrack,
205,11.049,49.5,1.0,0.0,51.6,15,12,18.6,742.7,yolov8n,bytetrack,
206,11.102,51.2,1.1,0.0,53.3,13,12,18.6,742.7,yolov8n,bytetrack,
207,11.153,48.9,1.0,0.0,51.1,12,12,18.6,742.7,yolov8n,bytetrack,
208,11.206,50.8,1.0,0.0,52.7,13,12,18.6,742.7,yolov8n,bytetrack,
209,11.260,51.0,1.0,0.0,53.0,12,12,18.6,742.7,yolov8n,bytetrack,
210,11.311,49.4,1.0,0.0,51.4,11,11,18.6,742.7,yolov8n,bytetrack,
211,11.363,49.7,1.0,0.0,51.7,12,11,18.6,742.7,yolov8n,bytetrack,
212,11.417,51.3,1.0,0.0,53.2,13,11,18.6,742.7,yolov8n,bytetrack,
213,11.470,50.3,1.0,0.0,52.3,12,11,18.6,742.7,yolov8n,bytetrack,
214,11.526,53.9,0.9,0.0,56.2,10,10,18.6,742.7,yolov8n,bytetrack,
215,11.582,53.0,1.0,0.0,55.1,11,10,18.6,742.7,yolov8n,bytetrack,
216,11.636,51.7,1.0,0.0,53.7,10,10,18.6,742.7,yolov8n,bytetrack,
217,11.689,51.3,1.1,0.0,53.3,10,10,18.6,742.7,yolov8n,bytetrack,
218,11.743,51.1,1.0,0.0,53.1,10,10,18.6,742.7,yolov8n,bytetrack,
219,11.796,51.0,0.9,0.0,52.8,10,10,18.6,743.9,yolov8n,bytetrack,
220,11.849,50.6,0.9,0.0,52.5,12,10,18.6,743.9,yolov8n,bytetrack,
221,11.903,51.6,1.0,0.0,53.7,12,10,18.6,743.9,yolov8n,bytetrack,
222,11.958,52.3,1.0,0.0,54.9,14,11,18.6,743.9,yolov8n,bytetrack,
223,12.010,50.2,1.1,0.0,52.2,14,11,18.6,745.1,yolov8n,bytetrack,
224,12.064,50.8,1.0,0.0,53.0,13,11,18.6,745.1,yolov8n,bytetrack,
225,12.117,50.6,1.0,0.0,52.7,14,11,18.6,745.1,yolov8n,bytetrack,
226,12.170,51.0,0.9,0.0,53.0,13,11,18.6,745.4,yolov8n,bytetrack,
227,12.224,51.7,0.9,0.0,53.6,12,11,18.6,745.4,yolov8n,bytetrack,
228,12.276,50.1,1.0,0.0,52.1,13,11,18.6,745.4,yolov8n,bytetrack,
229,12.328,50.2,0.9,0.0,52.1,12,11,18.6,745.5,yolov8n,bytetrack,
230,12.382,51.2,1.0,0.0,53.3,11,11,18.6,745.5,yolov8n,bytetrack,
231,12.436,51.2,0.9,0.0,53.1,11,11,18.6,745.5,yolov8n,bytetrack,
232,12.489,51.3,0.9,0.0,53.2,10,10,18.6,745.5,yolov8n,bytetrack,
233,12.542,50.5,1.0,0.0,52.3,11,11,18.6,745.5,yolov8n,bytetrack,
234,12.598,53.9,1.0,0.0,55.9,11,11,18.6,745.5,yolov8n,bytetrack,
235,12.651,50.3,1.0,0.0,52.4,11,11,18.6,745.5,yolov8n,bytetrack,
236,12.703,50.5,0.9,0.0,52.4,11,11,18.6,745.5,yolov8n,bytetrack,
237,12.757,51.1,0.9,0.0,52.9,11,11,18.6,745.5,yolov8n,bytetrack,
238,12.809,50.2,0.8,0.0,51.9,9,9,18.6,745.5,yolov8n,bytetrack,
239,12.861,50.1,0.9,0.0,51.9,10,9,18.6,745.5,yolov8n,bytetrack,
240,12.915,51.5,0.9,0.0,53.3,10,9,18.6,745.5,yolov8n,bytetrack,
241,12.968,50.3,0.8,0.0,52.1,9,8,18.6,745.5,yolov8n,bytetrack,
242,13.020,50.6,0.8,0.0,52.3,9,8,18.6,745.5,yolov8n,bytetrack,
243,13.075,52.8,0.8,0.0,54.4,9,8,18.6,745.5,yolov8n,bytetrack,
244,13.128,50.8,0.9,0.0,52.6,9,8,18.6,745.5,yolov8n,bytetrack,
245,13.179,49.3,0.9,0.0,51.2,10,9,18.6,745.5,yolov8n,bytetrack,
246,13.232,50.5,0.8,0.0,52.2,9,8,18.6,745.5,yolov8n,bytetrack,
247,13.284,49.4,0.9,0.0,51.2,9,8,18.6,745.5,yolov8n,bytetrack,
248,13.336,50.1,0.8,0.0,51.8,8,7,18.6,745.5,yolov8n,bytetrack,
249,13.387,49.9,0.9,0.0,51.6,9,8,18.6,745.5,yolov8n,bytetrack,
250,13.439,49.8,0.9,0.0,51.5,9,9,18.6,745.5,yolov8n,bytetrack,
251,13.491,49.7,0.8,0.0,51.3,9,9,18.6,745.5,yolov8n,bytetrack,
252,13.545,52.0,0.8,0.0,53.7,9,9,18.6,745.5,yolov8n,bytetrack,
253,13.595,48.6,0.8,0.0,50.4,11,10,18.6,745.5,yolov8n,bytetrack,
254,13.646,49.0,0.8,0.0,50.7,10,10,18.6,745.5,yolov8n,bytetrack,
